职位,公司,地址,薪酬,标签
Java开发工程师,深圳市鑫梓润物业管理股份有限公司,深圳-宝安区,1-1.8万/月,"['2年经验', '大专', '招1人', '07-16发布', '五险一金', '定期体检', '包吃', '包住宿', '加班补贴']"
Java开发工程师（非实习岗位）,武汉耀信达科技有限责任公司,武汉-硚口区,6-8千/月,"['无工作经验', '大专', '招1人', '07-16发布']"
Java开发主管,上海澜赢信息技术有限公司,上海-徐汇区,1.5-2万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '专业培训', '年终奖金', '带薪年假']"
JAVA工程师（高级）,重庆大唐科技股份有限公司,重庆-北碚区,0.8-1.3万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '免费班车', '通讯补贴', '绩效奖金', '年终奖金', '五险']"
Java开发工程师,北京天诚盛业科技有限公司,北京-海淀区,2-3万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '五险一金', '餐饮补贴', '交通补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检', '领导nice', '团队氛围轻松']"
电子电气转行JAVA软件开发,武汉东软,武汉-江夏区,4.5-6千/月,"['无工作经验', '大专', '招8人', '07-16发布']"
Java,长沙市袋娱网络科技有限公司,长沙,1.5-2万/月,"['无工作经验', '招1人', '07-16发布', '五险一金', '餐饮补贴', '绩效奖金', '年终奖金']"
java开发工程师（杭州）,上海海鼎信息工程股份有限公司,杭州,0.6-1万/月,"['无工作经验', '本科', '招10人', '07-16发布', '年终奖金', '五险一金', '节日礼物', '定期体检', '员工旅游', '餐饮补贴']"
Java高级开发工程师,中科聚信信息技术（北京）有限公司,西安-高新技术...,1.5-3万/月,"['无工作经验', '招2人', '07-16发布', '五险一金', '补充医疗保险', '通讯补贴', '定期体检', '绩效奖金']"
Java开发工程师,深圳市深信通软件有限公司广州分公司,广州-天河区,7-9千/月,"['1年经验', '大专', '招若干人', '07-16发布', '定期体检', '专业培训', '绩效奖金', '员工旅游']"
Java中级开发工程师,上海金盏企业管理有限公司深圳分公司,深圳-南山区,18-25万/年,"['3-4年经验', '本科', '招2人', '07-16发布', '周末双休', '带薪年假', '五险一金', '节日福利']"
java开发工程师-电信项目,南京思美软件系统有限公司,南京-雨花台区,0.8-1万/月,"['2年经验', '大专', '招6人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作']"
Java中级开发工程师,长沙睿森信息技术有限公司,长沙-雨花区,5-8千/月,"['1年经验', '大专', '招1人', '07-16发布']"
Java中级开发工程师,魔线科技（深圳）有限公司,深圳,1-1.5万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '绩效奖金', '股票期权', '弹性工作', '专业培训']"
Java开发工程师,济南新视界网络科技有限公司,济南-高新区,5-8千/月,"['无工作经验', '招8人', '07-16发布']"
Java开发工程师,催琥宝（深圳）科技有限公司,深圳-南山区,0.8-1.5万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '五险一金', '员工旅游', '出国机会', '绩效奖金', '年终奖金', '定期体检']"
Java开发实习生,广州市启胜物业管理有限公司,广州-天河区,3-5千/月,"['无工作经验', '本科', '招若干人', '07-16发布', '五险一金', '带薪年假', '周末双休', '节日福利', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '定期体检']"
大数据java开发工程师/架构师,网思科技有限公司,广州-天河区,1-1.5万/月,"['3-4年经验', '本科', '招5人', '07-16发布', '五险一金', '弹性工作', '通讯补贴', '绩效奖金', '员工旅游', '年终奖金', '餐饮补贴']"
Java开发工程师,沈阳捷信瑞通科技有限公司,沈阳,0.5-1万/月,"['2年经验', '本科', '招5人', '07-16发布', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '员工旅游']"
高级JAVA开发工程师 （上海徐汇区、浦东新区）,上海睿民互联网科技有限公司,上海-徐汇区,1.5-2万/月,"['5-7年经验', '本科', '招5人', '07-16发布', '五险一金', '补充医疗保险', '绩效奖金', '年终奖金', '带薪年假', '加班补助', '驻场补助', '团队氛围好', '领导好', '帅哥美女多多']"
高级Java开发工程师,杭州弈天网络技术有限公司,杭州-西湖区,1.5-2万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '年终奖金', '餐饮补贴', '定期体检', '弹性工作', '专业培训', '员工旅游', '节日福利', '专业导师', '绩效奖金']"
Java软件工程师（红门智能）,红门智能科技股份有限公司,深圳-龙岗区,1-1.7万/月,"['3-4年经验', '大专', '招2人', '07-16发布', '做五休二', '全勤奖', '通讯补贴', '住房补贴', '节日福利', '提供住宿', '五险一金']"
Java开发工程师,北京博思汇信息技术有限公司,长沙-开福区,0.6-1.2万/月,"['2年经验', '本科', '招若干人', '07-16发布', '五险一金', '弹性工作']"
JAVA中级工程师,深圳市网通兴科技股份有限公司长沙...,长沙,4-6千/月,"['2年经验', '大专', '招5人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金']"
Java开发工程师,上海晟上数据服务有限公司,上海-浦东新区,1.2-2万/月,"['3-4年经验', '本科', '招若干人', '07-16发布']"
Java开发工程师,湖北明泽实业发展有限公司,武汉-洪山区,5-9千/月,"['1年经验', '招1人', '07-16发布']"
JAVA工程师,广东卓维网络有限公司,异地招聘,0.6-1.5万/月,"['无工作经验', '大专', '招3人', '07-16发布']"
java开发工程师,社员网,北京-朝阳区,2-4万/月,"['无工作经验', '大专', '招1人', '07-16发布', '五险一金', '餐饮补贴', '交通补贴', '绩效奖金', '年终奖金', '通讯补贴']"
JAVA开发工程师,北京富基融通信息技术有限公司,武汉-武昌区,0.8-1.5万/月,"['2年经验', '本科', '招若干人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '定期体检', '年终奖金']"
Java开发工程师,深圳市有信达供应链集团股份有限公司,深圳-福田区,1.5-2万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '全勤奖', '节日福利', '绩效奖金', '周末双休', '专业培训', '补充公积金']"
