职位,公司,地址,薪酬,标签
Java开发工程师,普华信联（武汉）科技有限公司,武汉,0.6-1.2万/月,"['3-4年经验', '招5人', '07-16发布']"
Java高级开发工程师,北京中软国际信息技术有限公司,西安-高新技术...,1-1.5万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '做五休二', '周末双休', '带薪年假', '五险一金', '免费班车', '绩效奖金', '专业培训']"
Java软件开发实习生,幻维奇迹,武汉-洪山区,6-8千/月,"['无工作经验', '初中及以下', '招10人', '07-16发布']"
Java前端开发工程师,大连六元素科技有限公司,大连,4-6千/月,"['2年经验', '招1人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '年终奖金', '餐饮补贴', '定期体检']"
Java Web研发工程师,无锡龙翼智能科技有限公司,南京-雨花台区,6-8千/月,"['2年经验', '本科', '招1人', '07-16发布', '五险一金', '餐饮补贴', '弹性工作', '定期体检', '绩效奖金']"
Java高级开发工程师,湖南雅煜信息科技有限公司,长沙-雨花区,0.8-1万/月,"['3-4年经验', '大专', '招3人', '07-16发布']"
Java开发工程师,明辉实业（深圳）有限公司,深圳-龙岗区,1-1.5万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '员工旅游', '专业培训', '绩效奖金', '包住宿']"
JAVA软件工程师,北京华正世纪软件技术有限公司,北京-石景山区,0.7-1.5万/月,"['2年经验', '本科', '招2人', '07-16发布', '五险一金', '绩效奖金', '定期体检', '餐饮补贴', '年终奖金']"
Java高级开发工程师,深圳左邻永佳科技有限公司,深圳-南山区,1-1.5万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '五险一金', '定期体检', '弹性工作', '周末双休', '美女帅哥多', '晋升空间', '公司氛围好']"
java开发工程师,中通服软件科技有限公司,北京-东城区,1-1.5万/月,"['3-4年经验', '本科', '招6人', '07-16发布', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
GM_Java开发工程师,上海固买供应链管理有限公司,上海-青浦区,5-8千/月,"['3-4年经验', '大专', '招2人', '07-16发布', '五险一金', '餐饮补贴', '绩效奖金', '股票期权', '定期体检']"
JAVA开发工程师（偏前端）,成都诺一电气有限责任公司,成都-锦江区,0.8-1.3万/月,"['2年经验', '大专', '招1人', '07-16发布', '补充医疗保险', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作']"
